iw7_addr,proposed_name,iw7_existing_name,iw8_addr,confidence,score,margin,evidence,prototype
0x1407234F0,PM_Weapon_CheckForOffHandThrowCancel,PM_Weapon_CheckForGrenadeThrowCancel,0x1410A8740,medium,4.191,4.191,callee set overlaps: 2/2 mapped callees (jaccard 1.00); struct_sim=0.66,"void __usercall(pmove_t *pm@<rcx>, pml_t *pml@<rdx>, __int128 *@<xmm0>, __int128 *@<xmm6>)"
0x140C75550,SD_AllocDeInit,SD_AllocInit,0x1426E7CA0,medium,3.821,1.075,2 shared string literals (jaccard 0.67); struct_sim=0.50,void(void)
0x140C51DE0,SV_ClientMP_SpawnBotOrTestClient,SV_SpawnTestClient,0x14166EB10,medium,3.53,1.539,callee set overlaps: 2/2 mapped callees (jaccard 1.00); struct_sim=0.62,"__int64 __usercall@<rax>(gentity_s *ent@<rcx>, __int128 *@<xmm0>)"
0x1405ACEC0,Com_FastFile_FrameInternal,Com_FastFile_OnEnterFrontEnd,0x140F4F570,medium,3.507,0.511,callee set overlaps: 2/2 mapped callees (jaccard 1.00); struct_sim=0.60,"void __usercall(const bool updateRequests@<cl>, double@<xmm0>)"
0x140E7C150,BG_MatchRulesHistory_ReadFromDisk,LoadMatchRulesFromDisk,0x1402C87A0,medium,3.385,0.949,callee set overlaps: 2/3 mapped callees (jaccard 0.67); struct_sim=0.70,"__int64 __fastcall(MatchRules *matchRules, int controllerIndex, MatchRulesSaveLocation saveLoc, int slotIndex)"
0x140E7DCB0,BG_MatchRulesHistory_WriteHeaderToBuffer,WriteMatchRulesFileHeaderToBuffer,0x1402CAAC0,medium,3.362,0.674,caller set overlaps: 2/2 mapped callers (jaccard 1.00); 2 shared rare constants; struct_sim=0.91,"__int64 __fastcall(MatchRulesSaveHeader *header, char *saveBuffer, unsigned int saveBuffSize)"
0x140CA3440,deflate,SNDL_RemoveBank,0x1437C8890,medium,3.08,0.444,1 mapped callee(s) in common; 2 shared rare constants; struct_sim=0.74,"__int64 __fastcall(z_stream_s *strm, int flush)"
0x1413393C0,_anonymous_namespace_::_sanityCheck,?buildFromPlanes@hkgpConvexHull@@QEAAHPEBVhkVector4f@@HAEBUBuildConfig@1@@Z,0x1438F6EA0,medium,2.843,0.786,3 shared rare constants; struct_sim=0.70,"void __usercall(hkgpConvexHull *hull@<rcx>, const hkSimdFloat32 *scaledOffset@<rdx>, const hkArray<hkVector4f,hkContainerHeapAllocator> *originalVertices@<r8>, const hkAabb *originalAabb@<r9>, __int128 *__struct_ptr _XMM0@<xmm0>, __int128 *__struct_ptr _XMM6@<xmm6>, __int128 *__struct_ptr _XMM7@<xmm7>, __int128 *__struct_ptr _XMM8@<xmm8>)"
0x140E03360,Image_UploadData,Image_Setup,0x1422CBF80,medium,2.787,0.392,4 shared rare constants; struct_sim=0.79,"void __fastcall(const GfxImage *image, GfxCubeFace face, unsigned int mipLevel, const char *src)"
0x140ABC6A0,ParticleSystem::Init,FXIW_SpawnEffect,0x142810A30,medium,2.682,0.969,4 shared rare constants; struct_sim=0.72,"bool __fastcall(ParticleSystem *this, LocalClientNum_t localClientNum, const ParticleSystemDef *pSystemDef, ParticleSystemHandle particleSystemHandle, ParticleSystemHandle parentSystemHandle, const float4 *systemPos, const vector3 *systemOrientationMat, int spawnTime, __int64 particleSystemFlags, unsigned int dobjHandle, unsigned int boneIndex, const orientation_t *boltOffset, const FxCamera *pCamera, const FxMarkSpawnData *pMarkSpawnData, scr_string_t boneName, unsigned int archiveState)"
0x140C53050,SV_ClientMP_UserInfoChanged,SV_UpdateClientPacketRate,0x141672440,medium,2.59,0.389,caller set agrees: 3/3 mapped callers (jaccard 1.00); struct_sim=0.53,void __fastcall(SvClientMP *cl)
0x140C367E0,Bot_UpdateScriptedButtons,Bot_UpdateStance,0x14161E5A0,medium,2.562,0.552,4 shared rare constants; struct_sim=0.64,"void __fastcall(bot_data_t *botData, usercmd_s *cmd)"
0x14074D750,PM_Weapon_IsBulletClipEmpty,BG_ReloadStartAddTime,0x1410B2CB0,medium,2.508,1.238,caller set overlaps: 2/3 mapped callers (jaccard 0.50); struct_sim=0.87,"bool __fastcall(const playerState_s *ps, const Weapon *weapon, bool isAlternate, PlayerHandIndex hand, int *outAmmoInClip)"
0x1409D0F80,PartyHost_CalculateFinalVote,Party_UsingReadyUpFeature,0x14115BDD0,medium,2.495,0.688,caller set overlaps: 2/3 mapped callers (jaccard 0.67); struct_sim=0.86,"void __fastcall(PartyData *party, const int controllerIndex)"
0x140E4CAC0,Sys_ProcessWorkerCmdsWithTimeoutInternal,R_ProcessWorkerCmd,0x14141C420,medium,2.49,0.919,2 shared rare constants; struct_sim=0.73,"char __fastcall(bool (__fastcall *timeout)(void *), void *timeoutUserData, bool onlyOfType)"
0x1403B5500,DB_CheckLockWrite,j_?Allocate@DB_AssetEntryPool@@QEAAPEAVDB_AssetEntry@@W4XAssetType@@H@Z,0x141194A70,medium,2.458,0.304,caller set overlaps: 2/2 mapped callers (jaccard 1.00); struct_sim=0.84,char()
0x140CD2760,indyfs_LZ4F_decompress,fn,0x14388BB20,medium,2.368,0.324,4 shared rare constants; struct_sim=0.51,"unsigned __int64 __fastcall(indyfs_LZ4F_dctx_s *dctx, void *dstBuffer, unsigned __int64 *dstSizePtr, const void *srcBuffer, unsigned __int64 *srcSizePtr, const indyfs_LZ4F_decompressOptions_t *decompressOptionsPtr)"
0x1406D5FC0,PM_Weapon_CheckForPendingAltModeChange,BG_AnimScriptEvent,0x1410A8E20,medium,2.364,2.364,caller set overlaps: 2/4 mapped callers (jaccard 0.50); struct_sim=0.78,"bool __fastcall(pmove_t *pm, pml_t *pml)"
0x1405AE330,Com_FastFile_AreLUIFastfilesStillLoading,j_?UpdateSelf@ComFastFileLoadModule@@QEAAXXZ,0x140F4EDF0,medium,2.319,0.98,caller set overlaps: 2/2 mapped callers (jaccard 1.00); struct_sim=0.75,char __fastcall()
0x1412BB234,__scrt_unhandled_exception_filter,?__CxxUnhandledExceptionFilter@@YAJPEAU_EXCEPTION_POINTERS@@@Z,0x1438AEF00,medium,2.3,0.869,2 shared rare constants; struct_sim=1.00,__int64 __fastcall(_EXCEPTION_POINTERS *const pointers)
0x14074CE30,PM_Weapon_GetReloadEndState,BG_ReloadEndTime,0x1410B10C0,medium,2.119,0.886,caller set overlaps: 2/3 mapped callers (jaccard 0.67); struct_sim=0.61,"__int64 __fastcall(pmove_t *pm, PlayerHandIndex hand, WeaponAnimNumber *outWeaponAnimNumber, int *outStateTime, int *outDelay)"
0x14043B780,bfx::?0Planner3DInstance,Nav_CreateGlassObstacles,0x142AA5330,medium,2.118,0.464,2 shared rare constants; struct_sim=0.88,"void __fastcall(bfx::Planner3DInstance *this, bfx::SystemInstance *pInstance)"
0x140C55CB0,SV_InitMP_SaveSystemInfo,SV_SaveSystemInfo,0x14168B740,medium,2.089,0.406,3 shared rare constants; struct_sim=0.59,void(void)
0x14009E310,ClConfigStringsMP::GetClConfigStringsMP,j_?ClearStrings@ClConfigStringsMP@@QEAAXXZ,0x1400111AD,medium,2.081,2.081,caller set overlaps: 2/2 mapped callers (jaccard 0.50); struct_sim=0.59,ClConfigStringsMP *__fastcall()
0x140AC2650,R_InitFrustumLights,FX_Update0,0x1420CD850,medium,2.029,2.029,2 shared rare constants; struct_sim=0.82,void __usercall(__int128 _XMM0@<xmm0>)
0x140743CF0,BG_GetWeaponAttachments_Internal,BG_GetWeaponAttachments,0x1410FE490,medium,2.012,2.012,caller set overlaps: 2/4 mapped callers (jaccard 0.50); struct_sim=0.54,"__int64 __usercall@<rax>(const Weapon *r_weapon@<rcx>, bool isAlternate@<dl>, const WeaponAttachment **attachments@<r8>, char *attachmentIds@<r9>, __int128 *__struct_ptr _XMM0@<xmm0>, const UnderbarrelMainModeFieldType underbarrelMainModeFieldType, const unsigned int numAttachmentSlots, const AttachmentSlot *attachmentSlots)"
0x140BB17E0,CL_MainMP_InitMapLoad,Com_InitDObj,0x141A9A310,medium,1.97,1.97,caller set overlaps: 2/4 mapped callers (jaccard 0.50); struct_sim=0.51,"void __fastcall(const char *mapname, const char *gametype, int restart)"
0x140732B20,PM_Weapon_ResetShotCount,PM_ReloadClip,0x1410BBFE0,medium,1.961,0.708,caller set overlaps: 2/2 mapped callers (jaccard 0.50); struct_sim=0.51,"void __fastcall(playerState_s *ps, const PlayerHandIndex handIndex)"
0x140D2C340,R_TG_ResolveOptionsDependencies,j_?Update@ParticleSystem@@QEAAXHPEBUFxCamera@@H@Z,0x1421ABB60,medium,1.882,0.436,3 shared rare constants; struct_sim=0.45,void __fastcall(R_TG_ViewOptions *options)
0x140C26F10,Bot_ShouldCombatMove,Bot_IsReloading,0x141609080,medium,1.852,0.48,caller set overlaps: 2/2 mapped callers (jaccard 1.00); struct_sim=0.43,_BOOL8 __fastcall(const bot_data_t *botData)
0x1404AD8B0,G_SaveMemorySP_InitializeGameSave,?OnError@HttpCallback@@UEAAJPEAUIXMLHTTPRequest2@@J@Z,0x1420A95C0,medium,1.786,0.279,2 shared rare constants; struct_sim=0.66,void __fastcall(SaveGame *save)
