iw7_addr,proposed_name,iw7_existing_name,iw8_addr,confidence,score,margin,evidence,prototype
0x1412A58B0,hkSerialize::XmlReadFormat::Impl::parseType,,0x142B41F00,low,1.924,0.001,2 shared rare constants; struct_sim=0.75; demoted: runner-up within 0.00,"hkXmlStreamParser *__usercall@<rax>(hkSerialize::XmlReadFormat::Impl *this@<rcx>, hkXmlStreamParser *streamParser@<rdx>, hkXmlStreamParser *@<r8>, __int128 _XMM0@<xmm0>)"
0x140B4E7D0,PM_ExitAimDownSight,,0x141097D40,low,1.923,0.121,1 shared matched global; 1 shared rare constant; struct_sim=0.68,void __fastcall(pmove_t *pm)
0x140E92DB0,Umbra::Tome::getStatus,,0x1429387B0,low,1.923,0.11,2 shared rare constants; struct_sim=0.75; demoted: runner-up within 0.11,__int64 __fastcall(Umbra::Tome *this)
0x140C56BE0,SV_MemorySP_InitPreMap,,0x1426D81D0,low,1.921,0.001,1 shared string literal; struct_sim=0.45,void __fastcall(unsigned int clientCount)
0x14B9D59C8,bdObjectStoreStreaming::exitHTTP,,0x1436DF0F0,low,1.921,0.031,1 shared string literal; struct_sim=0.42,"void __usercall(bdObjectStoreStreaming *this@<rcx>, __int128 _XMM0@<xmm0>)"
0x140ACBC40,SV_BotCanUseTraversalLink,,0x141629160,low,1.918,0.152,2 shared rare constants; struct_sim=0.75; demoted: runner-up within 0.15,"char __fastcall(const pathnode_t *startNode, const pathnode_t *endNode, const gentity_s *ent)"
0x140411490,G_Turret_RestoreDefaultDropPitch,,0x140CF89B0,low,1.918,1.918,1 shared matched global; 1 shared rare constant; struct_sim=0.68,"void __usercall(gentity_s *self@<rcx>, __int128 _XMM6@<xmm6>, __int128 _XMM7@<xmm7>, __int128 _XMM8@<xmm8>, __int128 _XMM9@<xmm9>, __int128 _XMM10@<xmm10>, __int128 _XMM11@<xmm11>, __int128 _XMM12@<xmm12>)"
0x1406F6790,PM_CheckDuck,,0x1410524B0,low,1.917,0.079,3 shared rare constants; struct_sim=0.48; demoted: runner-up within 0.08,"void __usercall(pmove_t *pm@<rcx>, pml_t *pml@<rdx>, __int128 *@<xmm2>, __int128 *@<xmm3>, __int128 *@<xmm6>, __int128 *@<xmm7>, __int128 *@<xmm8>, __int128 *@<xmm9>, __int128 *@<xmm10>)"
0x140B84C30,DDLGetUInt,,0x140B82400,low,1.915,1.915,1 shared rare constant; struct_sim=0.61,"unsigned int __usercall@<eax>(DDLState *searchState@<rcx>, scr_string_t name@<edx>, __int128 *__struct_ptr _XMM0@<xmm0>)"
0x1400A9280,G_Deploy_Update,,0x140A361B0,low,1.914,1.914,1 shared string literal; struct_sim=0.42,"void __usercall(playerState_s *ps@<rcx>, GWeaponFireParms *const outParams@<rdx>, __int128 _XMM6@<xmm6>)"
