iw7_addr,proposed_name,iw7_existing_name,iw8_addr,confidence,score,margin,evidence,prototype
0x14010A260,GameBattles_PushMatchToLUI,,0x140B912C0,high,16.435,13.816,12 shared string literals (jaccard 0.71); struct_sim=0.89,"bool __fastcall(lua_State *luaVM, const int controllerIndex, const unsigned int matchIndex)"
0x1407673F0,CG_ParseExploder,,0x141BFB040,high,16.005,3.769,11 shared string literals (jaccard 0.52); 1 shared matched global; struct_sim=0.79,"char *__fastcall(LocalClientNum_t localClientNum, const char *line, EffectDefMap *effectDefMap, int *effectDefMapEntries)"
0x1400EE660,LUI_DataBindingLobby_PushMapVoteDataToModel,,0x14263E9C0,high,15.615,13.154,11 shared string literals (jaccard 0.58); struct_sim=0.82,"void __fastcall(const PartyData *partyData, unsigned __int16 baseModel)"
0x1411A19F0,pcf_interpret_style,,0x1430DE310,high,15.137,2.31,8 shared string literals (jaccard 1.00); 1 mapped callee(s) in common; 2 shared rare constants; struct_sim=0.96,"__int64 __usercall@<rax>(PCF_FaceRec_ *pcf@<rcx>, __m256i *__struct_ptr _YMM0@<ymm0>)"
0x140B8AAF0,LiveStorage_CS_IsTaskInProgress,,0x1413B7170,high,14.76,12.707,10 shared string literals (jaccard 0.91); 1 shared rare constant; struct_sim=0.97,"char __fastcall(const int controllerIndex, const char *taskName)"
0x140E79C10,stbi__process_frame_header,,0x143855D60,high,14.63,10.866,10 shared string literals (jaccard 0.91); 1 shared rare constant; struct_sim=0.88,"__int64 __fastcall(stbi__jpeg *z, int scan)"
0x1411B9B60,bdf_interpret_style,,0x1430FC0F0,high,14.538,11.919,8 shared string literals (jaccard 1.00); 1 mapped callee(s) in common; 2 shared rare constants; struct_sim=0.96,"__int64 __usercall@<rax>(BDF_FaceRec_ *bdf@<rcx>, __m256i *__struct_ptr _YMM0@<ymm0>)"
0x1411B88D0,_bdf_parse_properties,,0x1430FA9F0,high,14.269,5.897,4 shared string literals (jaccard 0.50); callee set agrees: 7/7 mapped callees (jaccard 1.00); 1 shared rare constant; struct_sim=0.98,"__int64 __fastcall(char *line, unsigned int linelen, unsigned int lineno, void *call_data, void *client_data)"
0x141233130,bdDataChannelDispatch::updateInternal,,0x14355ED90,high,14.111,11.34,10 shared string literals (jaccard 0.67); 1 shared rare constant; struct_sim=0.70,void __fastcall(bdDataChannelDispatch *this)
0x14040E210,Target_Flush,,0x140CEFFE0,high,14.094,10.074,10 shared string literals (jaccard 0.62); 1 shared matched global; struct_sim=0.65,void __fastcall(unsigned int targetIndex)
0x14040BBB0,G_Targets_Load,,0x140CEBD40,high,14.092,11.29,10 shared string literals (jaccard 0.50); 1 shared rare constant; struct_sim=0.79,"void __usercall(__int128 _XMM0@<xmm0>, __int128 _XMM2@<xmm2>, __int128 _XMM3@<xmm3>, __int128 _XMM6@<xmm6>, __int128 _XMM7@<xmm7>, __int128 _XMM8@<xmm8>)"
0x140B52300,SetClientTriggerAudioZonePartial,,0x1413242A0,high,13.865,11.31,10 shared string literals (jaccard 0.77); struct_sim=0.73,"void __fastcall(scrContext_t *scrContext, scr_entref_t entref, const char *zoneName, int priorityIndex, const float fadetime, const int startParamIndex)"
0x1411020A0,hknpCompositeCompositeTimers::exportTimers,,0x143024C40,high,13.849,13.849,10 shared string literals (jaccard 1.00); struct_sim=0.57,"void __usercall(hknpCompositeCompositeTimers *this@<rcx>, hkMonitorStream *stream@<rdx>, __int128 _XMM2@<xmm2>)"
0x1411C40B0,lj_cf_debug_getinfo,,0x143828B60,high,13.771,8.367,9 shared string literals (jaccard 0.50); 3 shared rare constants; struct_sim=0.85,__int64 __fastcall(lua_State *L)
0x140523DF0,OnlineMatchmakerOmniscient::QosCompleteCallback,,0x140E09D80,high,13.604,8.95,8 shared string literals (jaccard 0.62); 1 mapped callee(s) in common; 1 shared rare constant; struct_sim=0.86,"void __fastcall(OnlineMatchmakerOmniscient *this, const tQosEntry *result)"
0x14011E480,CG_ParseRotateCameraToken,,0x141BE8870,high,13.558,13.558,10 shared string literals (jaccard 0.56); struct_sim=0.67,"__int64 __usercall@<rax>(const char *token@<rcx>, const char *tokenValue@<rdx>, const int fileVersion@<r8d>, CinematicCameraSettings *camSettings@<r9>, __int128 *__struct_ptr _XMM0@<xmm0>)"
0x141101820,hknpCvxCvxDetectorTimers::exportTimers,,0x1430253E0,high,13.534,13.534,10 shared string literals (jaccard 0.62); struct_sim=0.61,"void __usercall(hknpCvxCvxDetectorTimers *this@<rcx>, hkMonitorStream *stream@<rdx>, __int128 _XMM2@<xmm2>)"
0x140F048A0,hkTaskGraph::printDot,,0x142B19220,high,13.326,13.326,6 shared string literals (jaccard 1.00); 1 mapped callee(s) in common; 5 shared rare constants; struct_sim=0.95,"void __fastcall(hkTaskGraph *this, hkOstream *outStream)"
0x1401104E0,OnlineTimeSeriesLog::CollectMetrics_Client,,0x140BF9F00,high,13.189,13.189,9 shared string literals (jaccard 1.00); struct_sim=0.93,void __fastcall(OnlineTimeSeriesLog *this)
0x14011E8E0,CG_ParseZoomCameraToken,,0x141BE9990,high,13.009,13.009,8 shared string literals (jaccard 0.57); 1 mapped callee(s) in common; struct_sim=0.76,"__int64 __usercall@<rax>(const char *token@<rcx>, const char *tokenValue@<rdx>, const int fileVersion@<r8d>, CinematicCameraSettings *camSettings@<r9>, __int128 *__struct_ptr _XMM0@<xmm0>)"
0x140F48A00,hkcdDynamicSimdTree::checkIntegrity,,0x142DC35E0,high,12.894,10.079,6 shared string literals (jaccard 0.67); 9 shared rare constants; struct_sim=0.95,void __fastcall(hkcdDynamicSimdTree *this)
0x14128E168,bdNATTravClient::receiveFrom,,0x1437601C0,high,12.798,10.214,9 shared string literals (jaccard 0.53); 1 shared matched global; struct_sim=0.65,"void __usercall(bdNATTravClient *this@<rcx>, const bdAddr *addr@<rdx>, bdNATTraversalPacket *packet@<r8>, signed __int64@<rax>, __int128 _XMM0@<xmm0>, __int128 _XMM6@<xmm6>, __int128 _XMM7@<xmm7>)"
0x141193320,cf2_hintmap_build,,0x1430CC2B0,high,12.769,10.744,callee set agrees: 9/9 mapped callees (jaccard 1.00); caller set agrees: 4/4 mapped callers (jaccard 1.00); struct_sim=0.98,"void __fastcall(CF2_HintMapRec_ *hintmap, CF2_ArrStackRec_ *hStemHintArray, CF2_ArrStackRec_ *vStemHintArray, CF2_HintMaskRec_ *hintMask, int hintOrigin, char initialMap)"
0x141101E30,hknpCvxCompositeTimers::exportTimers,,0x1430251B0,high,12.677,1.455,9 shared string literals (jaccard 1.00); struct_sim=0.58,"void __usercall(hknpCvxCompositeTimers *this@<rcx>, hkMonitorStream *stream@<rdx>, __int128 _XMM2@<xmm2>)"
0x140F47A70,hkcdSimdTree::checkIntegrity,,0x142DC3C50,high,12.666,12.666,6 shared string literals (jaccard 0.67); 9 shared rare constants; struct_sim=0.80,"void __usercall(hkcdSimdTree *this@<rcx>, __int128 _XMM2@<xmm2>, __int128 _XMM6@<xmm6>, __int128 _XMM7@<xmm7>, __int128 _XMM8@<xmm8>, __int128 _XMM9@<xmm9>)"
0x1413751B0,hkgpCgoInternal::checkIntegrity,,0x143949CE0,high,12.479,10.049,6 shared string literals (jaccard 1.00); 7 shared rare constants; struct_sim=0.99,__int64 __fastcall(hkgpCgoInternal *this)
0x14118B670,T1_Get_MM_Var,,0x1430C2F70,high,12.041,9.393,3 shared string literals (jaccard 1.00); callee set agrees: 4/4 mapped callees (jaccard 1.00); 4 shared rare constants; struct_sim=0.96,"__int64 __fastcall(T1_FaceRec_ *face, FT_MM_Var_ **master)"
0x1400D6FE0,LUI_LuaCall_LUIElement_SetupScopeReticleSpacer_impl,,0x1425FC9D0,high,11.962,11.962,8 shared string literals (jaccard 0.89); 1 shared rare constant; struct_sim=0.72,"__int64 __usercall@<rax>(lua_State *const luaVM@<rcx>, __int128 *__struct_ptr _XMM0@<xmm0>)"
0x140616390,LUI_CoD_QueueMouseInput,,0x142451A00,high,11.944,8.021,8 shared string literals (jaccard 0.80); 1 shared rare constant; struct_sim=0.76,"bool __fastcall(int controllerIndex, int key, int down, float *outScreenX, float *outScreenY, const char **outRootName)"
0x1406ADBD0,LUI_DataBinding_UpdatePlayerCard,,0x14260D070,high,11.912,9.24,8 shared string literals (jaccard 0.89); struct_sim=0.95,void()
0x14117F6B0,TT_Get_MM_Var,,0x1430B3EF0,high,11.672,4.762,4 shared string literals (jaccard 1.00); caller set overlaps: 2/2 mapped callers (jaccard 1.00); 8 shared rare constants; struct_sim=0.98,"int __fastcall(TT_FaceRec_ *face, FT_MM_Var_ **master)"
0x141083A40,hknpWorldEx::preCollide,,0x142E94160,high,11.538,11.538,7 shared string literals (jaccard 1.00); 2 shared rare constants; struct_sim=0.89,"void __fastcall(hknpWorldEx *this, const hknpStepInput *stepInput)"
0x140767C40,CG_ParseIntervalSound,,0x141BFD6A0,high,11.432,4.473,7 shared string literals (jaccard 0.78); 1 shared matched global; struct_sim=0.77,"const char *__usercall@<rax>(LocalClientNum_t localClientNum@<ecx>, const char *line@<rdx>, __int128 *__struct_ptr _XMM6@<xmm6>, __int128 *__struct_ptr _XMM7@<xmm7>)"
0x140E77F70,db_inflate_trees_dynamic,,0x1437C5BA0,high,11.396,11.396,5 shared string literals (jaccard 1.00); 1 mapped callee(s) in common; 3 shared rare constants; struct_sim=1.00,"__int64 __fastcall(unsigned int nl, unsigned int nd, unsigned int *c, unsigned int *bl, unsigned int *bd, db_inflate_huft_s **tl, db_inflate_huft_s **td, db_inflate_huft_s *hp, db_z_stream_s *z)"
0x140766F40,CG_ParseEffect,,0x141BFA4E0,high,11.387,3.91,7 shared string literals (jaccard 0.70); 1 shared matched global; struct_sim=0.79,"char *__fastcall(LocalClientNum_t localClientNum, const char *line, EffectDefMap *effectDefMap, int *effectDefMapEntries)"
0x1410CADB0,hknpInternalCommandProcessor::print,,0x142F7A440,high,11.087,11.087,7 shared string literals (jaccard 0.88); 1 shared rare constant; struct_sim=0.94,"void __fastcall(hknpInternalCommandProcessor *this, const hkCommand *command, hkOstream *stream)"
0x1410F1930,hknpPrepareNarrowPhasePairsTask::processImpl,,0x143038890,high,11.062,11.062,7 shared string literals (jaccard 0.54); 2 shared rare constants; struct_sim=0.88,"void __usercall(hknpPrepareNarrowPhasePairsTask *this@<rcx>, hknpSimulationThreadContext *threadContext@<rdx>, __int128 _XMM2@<xmm2>)"
0x141101B70,hknpCvxCompositeKeysTimers::exportTimers,,0x143024EA0,high,10.998,10.998,8 shared string literals (jaccard 0.53); struct_sim=0.58,"void __usercall(hknpCvxCompositeKeysTimers *this@<rcx>, hkMonitorStream *stream@<rdx>, __int128 _XMM2@<xmm2>)"
0x1400C9E40,LUI_LuaCall_LUIPostMatchPackage_PushCPScoreboardDataToLUIModel_impl,,0x1425AEE10,high,10.937,8.149,7 shared string literals (jaccard 0.70); 1 shared rare constant; struct_sim=0.96,"__int64 __usercall@<rax>(lua_State *const luaVM@<rcx>, __int128 *__struct_ptr _XMM0@<xmm0>)"
0x140E96CF0,Umbra::?1QueryContext,,0x1429429F0,high,10.903,8.864,7 shared string literals (jaccard 0.58); 2 shared rare constants; struct_sim=0.75,"void __usercall(Umbra::QueryContext *this@<rcx>, __int128 _XMM6@<xmm6>, __int128 _XMM7@<xmm7>, __int128 _XMM8@<xmm8>, __int128 _XMM9@<xmm9>, __int128 _XMM10@<xmm10>, __int128 _XMM11@<xmm11>, __int128 _XMM12@<xmm12>, __int128 _XMM13@<xmm13>, __int128 _XMM14@<xmm14>, __int128 _XMM15@<xmm15>)"
0x14052FDC0,Online_Redeemables::RedeemCodeOpenDialog,,0x14268B510,high,10.769,1.357,7 shared string literals (jaccard 0.50); 1 shared rare constant; struct_sim=0.98,"char __fastcall(Online_Redeemables *this, const int controllerIndex, const char *const code)"
0x140F1DF60,hkMemorySnapshot::dumpAllocation,,0x142B5BA90,high,10.69,8.374,7 shared string literals (jaccard 1.00); struct_sim=0.86,"void __fastcall(hkMemorySnapshot *this, const hkMemorySnapshot::Allocation *alloc, hkOstream *stream, int sourceId)"
0x1410CD3F0,hknpSingleThreadedSimulation::solve,,0x142F7D340,high,10.645,10.645,7 shared string literals (jaccard 0.70); 1 shared rare constant; struct_sim=0.76,"void __fastcall(hknpSingleThreadedSimulation *this, hknpSimulationContext *simulationContext, hknpTaskGraph *__formal, hkTaskQueue *__formal)"
